Date,Open,High,Low,Close,Volume
2018-12-19,2812.8,2892,2679.2,2809.6,22969.65
2018-12-20,2876.8,3037.6,2828.8,2952.8,22514.4
2018-12-21,2952.8,3138.4,2908.8,3106.4,25315
2018-12-24,3136,3254.4,3124,3254.4,18720.6
2018-12-26,3230.4,3315.2,3076,3083.2,28001.5
2018-12-27,3268,3421.8,3188,3209.6,30390.4
2018-12-28,3217.6,3313.6,3133.6,3212,19627.55
2018-12-31,3124.8,3165.6,3086.8,3088.8,15448.15
2019-01-02,3201.6,3212,2984,2996.8,24050.8
2019-01-03,3060.8,3203.2,3048,3137.6,14863.8
2019-01-04,3005.6,3031.2,2880,2885.6,20986.75
2019-01-07,2862.4,2904.8,2787.2,2824.8,14821.1
2019-01-08,2775.2,2870.4,2756.8,2765.6,12602.9
2019-01-09,2741.6,2762.4,2667.8,2701.6,14840.2
2019-01-10,2746.4,2782.4,2672.8,2673.6,15591.6
2019-01-11,2707.2,2718.4,2582.4,2586.4,14374.9
2019-01-14,2655.2,2660.8,2555.2,2596.8,14930.2
2019-01-15,2581.6,2581.6,2475.2,2480,12386.65
2019-01-16,2457.6,2525.6,2441.6,2524.8,13171.85
2019-01-17,2544,2546.4,2460.8,2499.2,11864.1
2019-01-18,2430.4,2464.8,2391.2,2436,12613.1
2019-01-22,2464,2689.6,2460,2659.2,26998.05
2019-01-23,2610.4,2796.8,2604.8,2633.6,21563.9
2019-01-24,2642.4,2673.6,2543.2,2548.8,16797.45
2019-01-25,2488,2504.8,2440.8,2451,17715.35
2019-01-28,2542.4,2631.2,2536.8,2556,24830.95
2019-01-29,2518.4,2584,2500.8,2546.4,23795.85
2019-01-30,2507.2,2548,2426.4,2432.8,26388.3
2019-01-31,2428.8,2428.8,2328.8,2332,21967.15
2019-02-01,2324.8,2342.4,2294.4,2308.8,17592.75
2019-02-04,2300,2312.8,2226,2236,11824.95
2019-02-05,2216,2234.4,2168,2220,11732.6
2019-02-06,2198.4,2229.6,2177.6,2204,13920.75
2019-02-07,2272.8,2368.8,2238.8,2280.8,26597.5
2019-02-08,2332.8,2354.4,2250.4,2253.6,20466.75
2019-02-11,2225.6,2262.4,2205.8,2228,17196.35
2019-02-12,2175.2,2202.2,2161.6,2188,17760
2019-02-13,2172,2206,2159.6,2180.8,17752.25
2019-02-14,2233.6,2271.2,2180,2220,23981.05
2019-02-15,2176.8,2193.6,2141,2144.8,19896.1
2019-02-19,2184.8,2190.4,2121.6,2149.6,23637.75
2019-02-20,2132,2135.2,2062.4,2066.4,29021.25
2019-02-21,2071.2,2122.4,2036.8,2087.2,23184.6
2019-02-22,2054.4,2060,2007,2010.4,18205.6
2019-02-25,1960.8,2048.8,1944.8,2048,17683.65
2019-02-26,2080,2091.2,2032.8,2066.4,16764.05
2019-02-27,2088,2142.4,2052,2069.6,23080.05
2019-02-28,2072.8,2076,2027.2,2065.6,21780.25
2019-03-01,2012,2051.2,1971.2,1973.6,20667.5
2019-03-04,1948.8,2124.8,1924.54,2021.6,38604.55
2019-03-05,2012,2064,2006.4,2034.4,23301.6
2019-03-06,2032.8,2104.8,2032,2086.4,30129.8
2019-03-07,2116.8,2214.4,2114.4,2172.8,47485.2
2019-03-08,2243.2,2276.4,2184.8,2185.6,40709
2019-03-11,2144,2144,2020,2027.2,36582.95
2019-03-12,2007.2,2016,1968,1968,37592.35
2019-03-13,1960,1967.2,1932.8,1948,25505.05
2019-03-14,1949.6,1953.6,1910.66,1917.6,19757.6
2019-03-15,1905.6,1913.6,1856,1880,21253.15
2019-03-18,1894.4,1924,1869.6,1884.8,19060.55
2019-03-19,1854.4,1928,1850.4,1900,30064.45
2019-03-20,1900,1941.6,1857.6,1917.6,36020.25
